Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
408,Pursuer,0.152,0.172,0.00
409,Pursuer,0.166,0.145,0.00
410,Pursuer,0.084,0.049,0.00
411,Pursuer,0.147,0.145,0.00
412,Pursuer,0.141,0.095,0.00
413,Draw,0.143,0.155,6.06
414,Pursuer,0.000,0.000,0.00
415,Runner,0.135,0.156,0.00
416,Runner,0.196,0.178,0.00
417,Pursuer,0.146,0.165,0.00
418,Pursuer,0.145,0.155,0.00
419,Draw,0.158,0.137,16.64
420,Pursuer,0.149,0.142,0.00
421,Runner,0.165,0.160,5.52
422,Pursuer,0.143,0.142,0.00
423,Pursuer,0.158,0.147,0.00
424,Draw,0.148,0.148,0.00
425,Draw,0.148,0.153,12.56
426,Pursuer,0.149,0.142,0.00
427,Draw,0.154,0.146,8.88
428,Pursuer,0.147,0.141,0.00
429,Draw,0.142,0.138,13.14
430,Pursuer,0.147,0.123,0.00
431,Pursuer,0.140,0.155,0.00
432,Pursuer,0.161,0.165,0.00
433,Pursuer,0.153,0.151,0.00
434,Pursuer,0.148,0.141,0.00
435,Draw,0.163,0.146,3.08
436,Pursuer,0.144,0.136,0.00
437,Runner,0.411,0.637,0.00
438,Draw,0.147,0.150,12.54
439,Pursuer,0.146,0.147,0.00
440,Draw,0.142,0.134,9.44
441,Runner,0.153,0.151,4.44
442,Draw,0.145,0.142,19.98
443,Draw,0.136,0.140,7.02
444,Pursuer,0.149,0.146,0.00
445,Draw,0.150,0.145,9.72
446,Runner,0.000,0.000,0.00
447,Runner,0.148,0.133,0.58
448,Pursuer,0.159,0.160,0.00
449,Pursuer,0.139,0.147,0.00
450,Runner,0.172,0.131,1.98
451,Draw,0.143,0.140,0.00
452,Pursuer,0.157,0.161,0.00
453,Pursuer,0.194,0.135,0.00
454,Runner,0.201,0.134,0.00
455,Draw,0.147,0.147,2.26
456,Draw,0.147,0.154,0.00
457,Runner,0.159,0.136,5.28
458,Runner,0.153,0.155,2.44
459,Pursuer,0.167,0.150,0.00
460,Draw,0.139,0.159,0.00
461,Pursuer,0.151,0.149,0.00
462,Draw,0.137,0.150,0.00
463,Pursuer,0.115,0.119,0.00
464,Runner,0.585,0.076,0.00
465,Pursuer,0.159,0.149,0.00
466,Runner,0.151,0.138,12.52
467,Pursuer,0.132,0.147,0.00
468,Pursuer,0.139,0.149,0.00
469,Draw,0.144,0.138,0.00
470,Runner,0.141,0.134,0.00
471,Draw,0.152,0.139,0.00
472,Draw,0.149,0.137,0.02
473,Draw,0.140,0.151,0.30
474,Draw,0.140,0.155,12.62
475,Pursuer,0.142,0.142,0.00
476,Pursuer,0.147,0.151,0.00
477,Draw,0.154,0.146,0.00
478,Draw,0.146,0.145,3.24
479,Pursuer,0.000,0.000,0.00
480,Pursuer,0.147,0.120,0.00
481,Runner,0.000,0.000,0.00
482,Draw,0.150,0.151,0.00
483,Pursuer,0.165,0.128,0.00
484,Pursuer,0.144,0.148,0.00
485,Pursuer,0.129,0.165,0.00
486,Runner,0.127,0.124,0.08
487,Runner,0.157,0.150,0.66
488,Pursuer,0.156,0.162,0.00
489,Pursuer,0.146,0.168,0.00
490,Runner,0.152,0.141,3.00
491,Draw,0.154,0.147,11.94
492,Draw,0.143,0.147,0.00
493,Draw,0.157,0.149,0.00
494,Draw,0.156,0.156,1.42
495,Draw,0.151,0.147,0.54
496,Draw,0.131,0.142,13.00
497,Draw,0.147,0.147,16.50
498,Draw,0.155,0.146,13.38
499,Runner,0.000,0.000,0.00
500,Pursuer,0.143,0.151,0.00
501,Draw,0.151,0.136,0.00
502,Pursuer,0.136,0.144,0.00
503,Draw,0.160,0.148,0.00
504,Draw,0.136,0.149,8.50
505,Runner,0.139,0.172,0.00
506,Draw,0.151,0.153,14.06
507,Pursuer,0.156,0.142,0.00
508,Pursuer,0.131,0.125,0.00
509,Pursuer,0.165,0.145,0.00
510,Pursuer,0.157,0.163,0.00
511,Draw,0.148,0.147,0.00
512,Draw,0.144,0.141,1.76
513,Draw,0.147,0.145,11.46
514,Draw,0.142,0.135,15.76
515,Runner,0.145,0.151,0.00
516,Draw,0.148,0.140,0.00
517,Runner,0.148,0.147,1.44
518,Draw,0.139,0.138,0.00
519,Draw,0.146,0.146,2.22
520,Runner,0.000,0.000,0.00
521,Pursuer,0.000,0.000,0.00
522,Draw,0.151,0.139,8.18
523,Pursuer,0.156,0.153,0.00
524,Pursuer,0.148,0.152,0.00
525,Draw,0.154,0.150,14.04
526,Runner,0.167,0.130,0.60
527,Runner,0.000,0.000,0.00
528,Pursuer,0.140,0.162,0.00
529,Draw,0.159,0.143,0.00
530,Pursuer,0.152,0.115,0.00
531,Draw,0.153,0.152,11.02
532,Draw,0.150,0.156,16.66
533,Pursuer,0.121,0.121,0.00
534,Runner,0.996,0.717,0.00
535,Pursuer,0.138,0.160,0.00
536,Draw,0.147,0.154,0.00
537,Pursuer,0.157,0.149,0.00
538,Runner,0.147,0.120,5.18
539,Draw,0.138,0.141,2.40
540,Runner,0.135,0.148,9.30
541,Draw,0.143,0.145,3.34
542,Draw,0.142,0.133,0.00
543,Pursuer,0.000,0.000,0.00
544,Runner,0.135,0.164,0.00
545,Pursuer,0.138,0.142,0.00
546,Pursuer,0.141,0.139,0.00
547,Runner,0.000,0.000,0.00
548,Pursuer,0.149,0.155,0.00
549,Draw,0.134,0.138,6.86
550,Pursuer,0.111,0.149,0.00
551,Pursuer,0.153,0.135,0.00
552,Runner,0.140,0.154,0.56
553,Pursuer,0.139,0.142,0.00
554,Draw,0.140,0.141,0.00
555,Pursuer,0.141,0.146,0.00
556,Runner,0.143,0.138,4.64
557,Pursuer,0.159,0.141,0.00
558,Runner,0.155,0.151,0.00
559,Pursuer,0.087,0.156,0.00
560,Runner,0.157,0.131,8.46
561,Pursuer,0.128,0.164,0.00
562,Draw,0.144,0.148,15.08
563,Draw,0.144,0.147,8.02
564,Draw,0.141,0.147,5.80
565,Runner,0.000,0.000,0.00
566,Runner,0.141,0.155,3.80
567,Runner,0.148,0.140,6.10
568,Pursuer,0.000,0.000,0.00
569,Pursuer,0.140,0.165,0.00
570,Pursuer,0.145,0.155,0.00
571,Pursuer,0.167,0.117,0.00
572,Runner,0.147,0.148,8.22
573,Draw,0.148,0.147,18.56
574,Runner,0.168,0.149,0.00
575,Pursuer,0.117,0.130,0.00
576,Pursuer,0.152,0.155,0.00
577,Runner,0.141,0.141,1.64
578,Draw,0.148,0.155,0.36
579,Draw,0.141,0.153,1.40
580,Pursuer,0.137,0.147,0.00
581,Pursuer,0.154,0.137,0.00
582,Draw,0.143,0.155,0.00
583,Pursuer,0.159,0.133,0.00
584,Pursuer,0.144,0.134,0.00
585,Runner,0.112,0.135,0.12
586,Draw,0.150,0.136,14.20
587,Draw,0.149,0.157,0.00
588,Pursuer,0.144,0.152,0.00
589,Pursuer,0.139,0.158,0.00
590,Pursuer,0.126,0.148,0.00
591,Pursuer,0.139,0.142,0.00
592,Pursuer,0.104,0.125,0.00
593,Pursuer,0.156,0.169,0.00
594,Runner,0.150,0.139,0.00
595,Runner,0.142,0.149,4.84
596,Pursuer,0.162,0.171,0.00
597,Pursuer,0.164,0.150,0.00
598,Draw,0.140,0.152,0.00
599,Runner,0.133,0.180,2.06
600,Draw,0.152,0.135,5.52
601,Pursuer,0.345,0.195,0.00
602,Pursuer,0.151,0.161,0.00
603,Pursuer,0.137,0.154,0.00
604,Draw,0.154,0.144,16.94
605,Draw,0.158,0.152,11.40
606,Pursuer,0.171,0.148,0.00
607,Runner,0.161,0.152,11.80
608,Runner,0.156,0.156,0.00
609,Draw,0.152,0.152,19.98
610,Draw,0.151,0.149,2.84
611,Pursuer,0.124,0.129,0.00
612,Draw,0.145,0.138,19.98
613,Pursuer,0.113,0.135,0.00
614,Draw,0.153,0.142,12.10
615,Pursuer,0.215,0.180,0.00
616,Runner,0.139,0.156,1.92
617,Pursuer,0.138,0.154,0.00
618,Pursuer,0.128,0.161,0.00
619,Pursuer,0.151,0.137,0.00
620,Runner,0.163,0.140,2.62
621,Pursuer,0.153,0.141,0.00
622,Pursuer,0.204,0.103,0.00
623,Runner,0.145,0.152,0.00
624,Runner,0.127,0.166,0.00
625,Pursuer,0.139,0.141,0.00
626,Runner,0.136,0.148,12.10
627,Pursuer,0.170,0.160,0.00
628,Pursuer,0.161,0.154,0.00
629,Runner,0.140,0.146,0.34
630,Pursuer,0.138,0.162,0.00
631,Runner,0.153,0.147,12.38
632,Draw,0.156,0.152,13.96
633,Runner,0.155,0.152,4.56
634,Runner,0.135,0.147,0.00
635,Runner,0.146,0.148,0.00
636,Runner,0.144,0.149,0.32
637,Pursuer,0.157,0.140,0.00
638,Pursuer,0.149,0.137,0.00
639,Runner,0.152,0.169,1.48
640,Pursuer,0.144,0.152,0.00
641,Runner,0.135,0.151,0.00
642,Pursuer,0.151,0.148,0.00
643,Runner,0.139,0.156,4.04
644,Pursuer,0.142,0.128,0.00
645,Pursuer,0.147,0.132,0.00
646,Pursuer,0.161,0.155,0.00
647,Draw,0.150,0.149,14.64
648,Pursuer,0.125,0.112,0.00
649,Draw,0.135,0.155,0.00
650,Pursuer,0.129,0.165,0.00
651,Pursuer,0.142,0.153,0.00
652,Pursuer,0.162,0.127,0.00
653,Pursuer,0.149,0.136,0.00
654,Draw,0.147,0.132,6.88
655,Draw,0.149,0.151,17.20
656,Pursuer,0.147,0.149,0.00
657,Pursuer,0.144,0.156,0.00
658,Draw,0.148,0.141,1.82
659,Runner,0.154,0.145,0.00
660,Runner,0.123,0.146,3.50
661,Pursuer,0.158,0.143,0.00
662,Runner,0.152,0.152,2.58
663,Draw,0.137,0.156,0.00
664,Pursuer,0.131,0.109,0.00
665,Pursuer,0.146,0.154,0.00
666,Runner,0.000,0.000,0.00
667,Runner,0.158,0.155,0.00
668,Pursuer,0.154,0.134,0.00
669,Draw,0.150,0.150,9.48
