Episode,Winner,RunnerJitter,PursuerJitter,NearMissTime
182,Draw,0.153,0.146,3.88
183,Draw,0.151,0.142,0
184,Pursuer,0,0,0
185,Draw,0.148,0.152,0
186,Draw,0.141,0.14,10.82
187,Draw,0.144,0.155,0
188,Draw,0.143,0.142,0.76
189,Draw,0.163,0.154,3.38
190,Draw,0.138,0.143,0
191,Pursuer,0.149,0.16,0
192,Draw,0.144,0.156,0
193,Pursuer,0.135,0.141,0
194,Draw,0.151,0.153,0
195,Draw,0.144,0.145,11.96
196,Draw,0.133,0.149,11.24
197,Pursuer,0.149,0.156,0
198,Pursuer,0.165,0.141,0
199,Draw,0.151,0.149,13.28
200,Draw,0.145,0.157,0.5
201,Draw,0.142,0.153,5.3
202,Draw,0.155,0.144,6.62
203,Draw,0.143,0.129,4.32
204,Draw,0.167,0.148,12.58
205,Pursuer,0,0,0
206,Pursuer,0.269,0.666,0
207,Draw,0.154,0.158,7.24
208,Draw,0.148,0.143,10
209,Pursuer,0.153,0.14,0
210,Pursuer,0.153,0.147,0
211,Draw,0.153,0.139,0
212,Draw,0.144,0.155,0
213,Runner,0.135,0.15,3.82
214,Pursuer,0.133,0.129,0
215,Draw,0.149,0.159,17.44
216,Draw,0.14,0.142,5.58
217,Draw,0.153,0.149,0
218,Draw,0.15,0.142,0
219,Pursuer,0.15,0.146,0
220,Draw,0.153,0.15,9.5
221,Draw,0.151,0.141,0.26
222,Runner,0.149,0.142,0
223,Pursuer,0.172,0.155,0
224,Draw,0.158,0.155,15.32
225,Pursuer,0.163,0.153,0
226,Draw,0.151,0.149,8.14
227,Draw,0.155,0.147,4.34
228,Draw,0.143,0.15,19.4
229,Draw,0.149,0.143,8.42
230,Runner,0,0,0
231,Draw,0.16,0.165,16.34
232,Pursuer,0.136,0.149,0
233,Runner,0.136,0.155,4.54
234,Draw,0.145,0.135,5.74
235,Draw,0.143,0.143,5.26
236,Pursuer,0.141,0.144,0
237,Draw,0.156,0.145,0
238,Draw,0.139,0.156,0
239,Draw,0.142,0.152,14.42
240,Runner,0.145,0.14,0
241,Draw,0.145,0.155,0
242,Draw,0.152,0.165,6.32
243,Draw,0.156,0.149,0
244,Runner,0.152,0.148,3.16
1,Runner,0.573,1.205,0.00
2,Runner,0.119,0.206,0.28
3,Pursuer,0.145,0.147,0.00
4,Runner,0.155,0.146,0.00
5,Pursuer,0.000,0.000,0.00
6,Pursuer,0.155,0.170,0.00
7,Draw,0.150,0.140,3.42
8,Draw,0.138,0.146,13.34
9,Draw,0.147,0.156,0.00
10,Draw,0.158,0.152,0.00
11,Draw,0.157,0.152,4.52
12,Draw,0.141,0.148,0.00
13,Draw,0.140,0.146,0.00
14,Draw,0.155,0.152,0.28
15,Draw,0.147,0.146,0.00
16,Draw,0.147,0.155,0.00
17,Draw,0.149,0.154,0.00
18,Draw,0.153,0.148,11.34
19,Draw,0.155,0.146,0.00
20,Draw,0.140,0.148,0.00
21,Pursuer,0.292,0.121,0.00
22,Draw,0.154,0.154,0.78
23,Draw,0.152,0.155,0.02
