Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeSteps
205,Draw,0.107,0.141,0.751,0.145,0.159,7.18,999.00
206,Draw,0.107,0.141,0.752,0.155,0.147,1.64,999.00
207,Pursuer,0.106,0.145,0.749,0.146,0.156,0.00,848.00
208,Draw,0.106,0.144,0.750,0.152,0.149,0.00,999.00
209,Draw,0.105,0.144,0.751,0.136,0.157,14.68,999.00
210,Draw,0.105,0.143,0.752,0.152,0.152,11.56,999.00
211,Runner,0.109,0.142,0.749,0.218,0.078,0.00,17.00
212,Draw,0.108,0.142,0.750,0.154,0.146,7.64,999.00
213,Draw,0.108,0.141,0.751,0.146,0.156,1.06,999.00
214,Draw,0.107,0.140,0.752,0.149,0.150,14.26,999.00
215,Runner,0.112,0.140,0.749,0.159,0.149,12.78,654.00
216,Draw,0.111,0.139,0.750,0.153,0.148,3.44,999.00
217,Runner,0.115,0.138,0.747,0.000,0.000,0.00,1.00
218,Pursuer,0.115,0.142,0.743,0.120,0.161,0.00,492.00
219,Draw,0.114,0.142,0.744,0.146,0.154,8.60,999.00
220,Draw,0.114,0.141,0.745,0.153,0.144,0.00,999.00
221,Runner,0.118,0.140,0.742,0.145,0.129,0.00,198.00
222,Draw,0.117,0.140,0.743,0.153,0.153,7.82,999.00
223,Draw,0.117,0.139,0.744,0.137,0.153,2.38,999.00
224,Pursuer,0.116,0.143,0.741,0.153,0.155,0.00,588.00
225,Pursuer,0.116,0.147,0.738,0.138,0.129,0.00,296.00
226,Draw,0.115,0.146,0.739,0.148,0.156,0.00,999.00
227,Draw,0.115,0.145,0.740,0.140,0.157,0.00,999.00
228,Runner,0.118,0.145,0.737,0.090,0.135,0.00,15.00
229,Draw,0.118,0.144,0.738,0.153,0.144,19.56,999.00
230,Draw,0.117,0.143,0.739,0.157,0.160,0.00,999.00
231,Pursuer,0.117,0.147,0.736,0.145,0.148,0.00,780.00
232,Pursuer,0.116,0.151,0.733,0.139,0.146,0.00,675.00
233,Draw,0.116,0.150,0.734,0.157,0.148,0.00,999.00
234,Draw,0.115,0.150,0.735,0.150,0.141,0.00,999.00
235,Pursuer,0.115,0.153,0.732,0.140,0.138,0.00,439.00
236,Draw,0.114,0.153,0.733,0.141,0.140,13.46,999.00
237,Pursuer,0.114,0.156,0.730,0.000,0.000,0.00,0.00
238,Pursuer,0.113,0.160,0.727,0.155,0.153,0.00,641.00
239,Draw,0.113,0.159,0.728,0.153,0.145,0.00,999.00
240,Pursuer,0.113,0.163,0.725,0.132,0.134,0.00,110.00
241,Draw,0.112,0.162,0.726,0.154,0.144,0.00,999.00
242,Draw,0.112,0.161,0.727,0.140,0.154,19.06,999.00
243,Draw,0.111,0.160,0.728,0.148,0.153,0.00,999.00
244,Pursuer,0.111,0.164,0.725,0.158,0.168,0.00,280.00
245,Pursuer,0.110,0.167,0.722,0.161,0.159,0.00,413.00
246,Draw,0.110,0.167,0.724,0.150,0.139,0.92,999.00
247,Draw,0.109,0.166,0.725,0.146,0.148,0.00,999.00
248,Draw,0.109,0.165,0.726,0.151,0.154,11.36,999.00
249,Draw,0.108,0.165,0.727,0.146,0.146,0.00,999.00
250,Draw,0.108,0.164,0.728,0.146,0.166,0.00,999.00
251,Runner,0.112,0.163,0.725,0.000,0.000,0.00,0.00
252,Pursuer,0.111,0.167,0.722,0.000,0.000,0.00,0.00
253,Draw,0.111,0.166,0.723,0.146,0.144,0.00,999.00
254,Draw,0.110,0.165,0.724,0.142,0.148,14.58,999.00
255,Draw,0.110,0.165,0.725,0.157,0.153,7.12,999.00
256,Draw,0.109,0.164,0.727,0.159,0.161,11.02,999.00
257,Pursuer,0.109,0.167,0.724,0.131,0.142,0.00,126.00
258,Draw,0.109,0.167,0.725,0.162,0.153,19.98,999.00
259,Pursuer,0.108,0.170,0.722,0.147,0.245,0.00,8.00
260,Draw,0.108,0.169,0.723,0.141,0.144,0.00,999.00
261,Runner,0.111,0.169,0.720,0.160,0.154,2.02,892.00
262,Draw,0.111,0.168,0.721,0.151,0.143,0.00,999.00
263,Draw,0.110,0.167,0.722,0.151,0.152,0.00,999.00
264,Pursuer,0.110,0.170,0.720,0.000,0.000,0.00,0.00
265,Draw,0.109,0.170,0.721,0.153,0.146,7.38,999.00
266,Pursuer,0.109,0.173,0.718,0.054,0.126,0.00,5.00
267,Draw,0.109,0.172,0.719,0.156,0.154,13.08,999.00
268,Runner,0.112,0.172,0.716,0.151,0.160,0.00,772.00
269,Draw,0.112,0.171,0.717,0.151,0.164,7.40,999.00
270,Pursuer,0.111,0.174,0.715,0.134,0.153,0.00,216.00
271,Draw,0.111,0.173,0.716,0.151,0.143,0.00,999.00
272,Draw,0.110,0.173,0.717,0.153,0.154,0.00,999.00
273,Draw,0.110,0.172,0.718,0.146,0.163,14.20,999.00
274,Pursuer,0.109,0.175,0.715,0.000,0.000,0.00,0.00
275,Pursuer,0.109,0.178,0.713,0.147,0.144,0.00,812.00
276,Draw,0.109,0.178,0.714,0.152,0.154,0.00,999.00
277,Draw,0.108,0.177,0.715,0.144,0.151,11.08,999.00
278,Draw,0.108,0.176,0.716,0.154,0.142,0.00,999.00
279,Draw,0.108,0.176,0.717,0.153,0.158,9.78,999.00
280,Pursuer,0.107,0.179,0.714,0.141,0.166,0.00,723.00
281,Pursuer,0.107,0.181,0.712,0.148,0.158,0.00,686.00
282,Draw,0.106,0.181,0.713,0.154,0.148,0.00,999.00
283,Draw,0.106,0.180,0.714,0.160,0.156,5.28,999.00
284,Draw,0.106,0.180,0.715,0.142,0.146,0.00,999.00
285,Draw,0.105,0.179,0.716,0.147,0.137,0.00,999.00
286,Pursuer,0.105,0.182,0.713,0.153,0.142,0.00,841.00
287,Draw,0.105,0.181,0.714,0.146,0.144,0.00,999.00
288,Draw,0.104,0.181,0.715,0.143,0.154,0.00,999.00
289,Draw,0.104,0.180,0.716,0.153,0.153,6.86,999.00
290,Draw,0.103,0.179,0.717,0.148,0.151,5.94,999.00
291,Draw,0.103,0.179,0.718,0.145,0.156,0.00,999.00
292,Draw,0.103,0.178,0.719,0.137,0.162,0.00,999.00
293,Draw,0.102,0.177,0.720,0.153,0.152,6.80,999.00
294,Draw,0.102,0.177,0.721,0.156,0.159,9.28,999.00
295,Pursuer,0.102,0.180,0.719,0.141,0.153,0.00,155.00
296,Draw,0.101,0.179,0.720,0.147,0.150,6.04,999.00
297,Pursuer,0.101,0.182,0.717,0.165,0.159,0.00,359.00
298,Draw,0.101,0.181,0.718,0.154,0.137,0.00,999.00
299,Pursuer,0.100,0.184,0.716,0.169,0.157,0.00,890.00
300,Draw,0.100,0.183,0.717,0.144,0.141,13.08,999.00
301,Draw,0.100,0.183,0.718,0.148,0.141,0.00,999.00
302,Draw,0.099,0.182,0.719,0.146,0.150,11.32,999.00
